1.00	0.89	0.70	0.20	-0.68	0.34	0.87	0.02	0.51	0.88	0.91	-0.30	-0.19	0.71	-0.46	0.22	-0.52	-0.02	0.27	-0.36	-0.66	0.15	-0.65	0.69	0.55	-0.46	-0.33	
0.89	1.00	0.49	0.17	-0.65	0.37	0.94	-0.08	0.66	0.85	0.89	-0.24	-0.19	0.84	-0.50	0.17	-0.56	0.06	0.10	-0.42	-0.73	0.09	-0.66	0.72	0.47	-0.46	-0.34	
0.70	0.49	1.00	0.63	-0.07	0.65	0.53	0.35	0.12	0.56	0.67	-0.58	-0.00	0.58	-0.04	0.64	0.07	0.33	0.73	0.16	-0.17	0.43	-0.09	0.26	0.72	0.17	0.13	
0.20	0.17	0.63	1.00	0.25	0.57	0.28	0.13	0.14	0.18	0.27	-0.46	0.07	0.41	0.17	0.80	0.22	0.49	0.49	0.32	0.19	0.79	0.28	-0.11	0.73	0.32	0.34	
-0.68	-0.65	-0.07	0.25	1.00	0.32	-0.66	0.17	-0.45	-0.68	-0.65	-0.01	0.29	-0.40	0.59	0.19	0.93	0.54	0.23	0.81	0.65	0.16	0.70	-0.51	-0.17	0.93	0.74	
0.34	0.37	0.65	0.57	0.32	1.00	0.31	0.18	0.19	0.19	0.26	-0.24	0.13	0.39	0.41	0.54	0.44	0.87	0.48	0.66	0.05	0.37	-0.18	0.45	0.56	0.50	0.70	
0.87	0.94	0.53	0.28	-0.66	0.31	1.00	-0.04	0.62	0.88	0.90	-0.33	-0.20	0.82	-0.52	0.25	-0.59	0.01	0.16	-0.46	-0.66	0.22	-0.56	0.60	0.54	-0.49	-0.38	
0.02	-0.08	0.35	0.13	0.17	0.18	-0.04	1.00	-0.77	-0.03	-0.01	-0.02	0.04	-0.14	0.26	0.07	0.19	0.13	0.42	0.23	0.24	-0.12	0.22	-0.19	-0.03	0.24	0.13	
0.51	0.66	0.12	0.14	-0.45	0.19	0.62	-0.77	1.00	0.53	0.55	-0.17	-0.13	0.67	-0.40	0.16	-0.44	0.07	-0.23	-0.35	-0.54	0.25	-0.50	0.54	0.39	-0.40	-0.19	
0.88	0.85	0.56	0.18	-0.68	0.19	0.88	-0.03	0.53	1.00	0.90	-0.36	-0.21	0.72	-0.58	0.17	-0.57	-0.15	0.20	-0.51	-0.67	0.13	-0.54	0.55	0.47	-0.49	-0.47	
0.91	0.89	0.67	0.27	-0.65	0.26	0.90	-0.01	0.55	0.90	1.00	-0.55	-0.19	0.87	-0.63	0.33	-0.52	-0.14	0.36	-0.50	-0.72	0.16	-0.49	0.53	0.56	-0.41	-0.47	
-0.30	-0.24	-0.58	-0.46	-0.01	-0.24	-0.33	-0.02	-0.17	-0.36	-0.55	1.00	0.01	-0.56	0.37	-0.61	-0.12	0.06	-0.69	0.09	0.19	-0.33	-0.20	0.10	-0.51	-0.21	0.14	
-0.19	-0.19	-0.00	0.07	0.29	0.13	-0.20	0.04	-0.13	-0.21	-0.19	0.01	1.00	-0.11	0.19	0.05	0.30	0.18	0.09	0.29	0.11	0.04	0.15	-0.08	-0.04	0.29	0.23	
0.71	0.84	0.58	0.41	-0.40	0.39	0.82	-0.14	0.67	0.72	0.87	-0.56	-0.11	1.00	-0.50	0.42	-0.36	0.12	0.24	-0.35	-0.60	0.25	-0.30	0.41	0.57	-0.22	-0.26	
-0.46	-0.50	-0.04	0.17	0.59	0.41	-0.52	0.26	-0.40	-0.58	-0.63	0.37	0.19	-0.50	1.00	0.12	0.54	0.68	-0.05	0.77	0.79	0.10	0.25	-0.18	-0.05	0.47	0.86	
0.22	0.17	0.64	0.80	0.19	0.54	0.25	0.07	0.16	0.17	0.33	-0.61	0.05	0.42	0.12	1.00	0.22	0.38	0.61	0.27	0.17	0.72	0.24	-0.10	0.75	0.30	0.29	
-0.52	-0.56	0.07	0.22	0.93	0.44	-0.59	0.19	-0.44	-0.57	-0.52	-0.12	0.30	-0.36	0.54	0.22	1.00	0.51	0.41	0.87	0.50	0.11	0.51	-0.30	-0.09	0.98	0.74	
-0.02	0.06	0.33	0.49	0.54	0.87	0.01	0.13	0.07	-0.15	-0.14	0.06	0.18	0.12	0.68	0.38	0.51	1.00	0.14	0.78	0.37	0.34	0.03	0.21	0.33	0.55	0.89	
0.27	0.10	0.73	0.49	0.23	0.48	0.16	0.42	-0.23	0.20	0.36	-0.69	0.09	0.24	-0.05	0.61	0.41	0.14	1.00	0.30	-0.00	0.28	0.19	-0.04	0.46	0.48	0.14	
-0.36	-0.42	0.16	0.32	0.81	0.66	-0.46	0.23	-0.35	-0.51	-0.50	0.09	0.29	-0.35	0.77	0.27	0.87	0.78	0.30	1.00	0.55	0.24	0.24	-0.04	0.11	0.82	0.94	
-0.66	-0.73	-0.17	0.19	0.65	0.05	-0.66	0.24	-0.54	-0.67	-0.72	0.19	0.11	-0.60	0.79	0.17	0.50	0.37	-0.00	0.55	1.00	0.17	0.65	-0.64	-0.15	0.46	0.62	
0.15	0.09	0.43	0.79	0.16	0.37	0.22	-0.12	0.25	0.13	0.16	-0.33	0.04	0.25	0.10	0.72	0.11	0.34	0.28	0.24	0.17	1.00	0.20	-0.10	0.73	0.16	0.26	
-0.65	-0.66	-0.09	0.28	0.70	-0.18	-0.56	0.22	-0.50	-0.54	-0.49	-0.20	0.15	-0.30	0.25	0.24	0.51	0.03	0.19	0.24	0.65	0.20	1.00	-0.95	-0.19	0.56	0.20	
0.69	0.72	0.26	-0.11	-0.51	0.45	0.60	-0.19	0.54	0.55	0.53	0.10	-0.08	0.41	-0.18	-0.10	-0.30	0.21	-0.04	-0.04	-0.64	-0.10	-0.95	1.00	0.30	-0.33	-0.01	
0.55	0.47	0.72	0.73	-0.17	0.56	0.54	-0.03	0.39	0.47	0.56	-0.51	-0.04	0.57	-0.05	0.75	-0.09	0.33	0.46	0.11	-0.15	0.73	-0.19	0.30	1.00	-0.03	0.14	
-0.46	-0.46	0.17	0.32	0.93	0.50	-0.49	0.24	-0.40	-0.49	-0.41	-0.21	0.29	-0.22	0.47	0.30	0.98	0.55	0.48	0.82	0.46	0.16	0.56	-0.33	-0.03	1.00	0.71	
-0.33	-0.34	0.13	0.34	0.74	0.70	-0.38	0.13	-0.19	-0.47	-0.47	0.14	0.23	-0.26	0.86	0.29	0.74	0.89	0.14	0.94	0.62	0.26	0.20	-0.01	0.14	0.71	1.00	
