1.00	-0.05	0.01	0.15	0.35	0.01	-0.04	0.19	0.24	0.02	-0.05	0.03	0.17	-0.10	0.03	0.11	
-0.05	1.00	-0.02	0.04	0.02	0.75	-0.03	-0.01	0.00	0.16	-0.04	0.18	0.01	0.72	-0.03	0.14	
0.01	-0.02	1.00	0.06	0.03	-0.02	0.50	0.03	-0.01	0.00	-0.06	-0.01	-0.01	-0.04	0.39	0.04	
0.15	0.04	0.06	1.00	0.08	0.26	0.03	0.77	0.10	0.04	0.03	0.49	0.15	-0.01	0.01	0.85	
0.35	0.02	0.03	0.08	1.00	0.01	-0.06	0.11	0.23	0.05	-0.05	-0.00	0.22	-0.04	0.02	0.05	
0.01	0.75	-0.02	0.26	0.01	1.00	-0.01	0.22	0.12	0.21	-0.02	0.28	0.06	0.76	-0.03	0.32	
-0.04	-0.03	0.50	0.03	-0.06	-0.01	1.00	0.03	0.06	0.04	-0.00	0.02	0.03	-0.03	0.46	0.06	
0.19	-0.01	0.03	0.77	0.11	0.22	0.03	1.00	0.25	0.06	0.03	0.50	0.16	0.01	0.01	0.71	
0.24	0.00	-0.01	0.10	0.23	0.12	0.06	0.25	1.00	-0.04	-0.04	0.09	0.24	0.06	-0.01	0.09	
0.02	0.16	0.00	0.04	0.05	0.21	0.04	0.06	-0.04	1.00	-0.02	-0.04	0.05	0.20	0.03	-0.01	
-0.05	-0.04	-0.06	0.03	-0.05	-0.02	-0.00	0.03	-0.04	-0.02	1.00	0.08	-0.05	-0.01	-0.01	0.00	
0.03	0.18	-0.01	0.49	-0.00	0.28	0.02	0.50	0.09	-0.04	0.08	1.00	0.06	0.17	-0.02	0.46	
0.17	0.01	-0.01	0.15	0.22	0.06	0.03	0.16	0.24	0.05	-0.05	0.06	1.00	0.04	0.07	0.18	
-0.10	0.72	-0.04	-0.01	-0.04	0.76	-0.03	0.01	0.06	0.20	-0.01	0.17	0.04	1.00	-0.01	0.01	
0.03	-0.03	0.39	0.01	0.02	-0.03	0.46	0.01	-0.01	0.03	-0.01	-0.02	0.07	-0.01	1.00	0.03	
0.11	0.14	0.04	0.85	0.05	0.32	0.06	0.71	0.09	-0.01	0.00	0.46	0.18	0.01	0.03	1.00	
1.00	-0.08	0.10	-0.02	0.54	-0.02	0.25	0.10	0.61	-0.03	-0.00	-0.02	0.43	-0.01	0.22	0.03	
-0.08	1.00	-0.09	0.12	0.00	0.53	-0.19	-0.12	0.01	0.12	-0.00	0.16	0.01	0.41	-0.12	0.14	
0.10	-0.09	1.00	0.05	0.06	-0.07	0.49	0.07	0.09	0.08	0.04	0.01	0.08	-0.06	0.33	0.06	
-0.02	0.12	0.05	1.00	0.18	-0.07	0.05	0.49	-0.01	-0.05	-0.02	0.36	0.09	-0.14	0.25	0.20	
0.54	0.00	0.06	0.18	1.00	-0.05	0.38	0.32	0.47	-0.14	0.04	0.39	0.77	-0.09	0.31	0.18	
-0.02	0.53	-0.07	-0.07	-0.05	1.00	-0.07	-0.01	-0.01	0.31	0.01	0.04	-0.01	0.61	-0.14	0.17	
0.25	-0.19	0.49	0.05	0.38	-0.07	1.00	0.20	0.21	0.04	0.11	0.20	0.32	-0.06	0.54	0.06	
